ID,WT_DOM,D_TRA1_SYEAR,D_TRA1_SMONTH,D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A8C,A8D,A8F,A8G_1,A4_4,BSEX,BAGE,BINC1,국내_A_여행횟수_관광전체_서울,국내_A_여행횟수_관광전체_부산,국내_A_여행횟수_관광전체_대구,국내_A_여행횟수_관광전체_인천,국내_A_여행횟수_관광전체_광주,국내_A_여행횟수_관광전체_대전,국내_A_여행횟수_관광전체_울산,국내_A_여행횟수_관광전체_세종,국내_A_여행횟수_관광전체_경기,국내_A_여행횟수_관광전체_강원,국내_A_여행횟수_관광전체_충북,국내_A_여행횟수_관광전체_충남,국내_A_여행횟수_관광전체_전북,국내_A_여행횟수_관광전체_전남,국내_A_여행횟수_관광전체_경북,국내_A_여행횟수_관광전체_경남,국내_A_여행횟수_관광전체_제주,국내_A_여행지출_관광전체_서울,국내_A_여행지출_관광전체_부산,국내_A_여행지출_관광전체_대구,국내_A_여행지출_관광전체_인천,국내_A_여행지출_관광전체_광주,국내_A_여행지출_관광전체_대전,국내_A_여행지출_관광전체_울산,국내_A_여행지출_관광전체_세종,국내_A_여행지출_관광전체_경기,국내_A_여행지출_관광전체_강원,국내_A_여행지출_관광전체_충북,국내_A_여행지출_관광전체_충남,국내_A_여행지출_관광전체_전북,국내_A_여행지출_관광전체_전남,국내_A_여행지출_관광전체_경북,국내_A_여행지출_관광전체_경남,국내_A_여행지출_관광전체_제주,연도
23060550821_718610,16784.813671535212,2025.0,10.0,31220.0,1.0,300000.0,1.0,300000.0,0.0,30000.0,10000.0,0.0,,1,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_718620,65667.99999999997,2025.0,10.0,32030.0,1.0,700000.0,4.0,175000.0,500000.0,0.0,50000.0,0.0,,2,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_718623,13844.638119355412,2025.0,10.0,11170.0,1.0,30000.0,1.0,30000.0,0.0,26000.0,4000.0,0.0,,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_718630,16185.175760351733,2025.0,10.0,11240.0,1.0,60000.0,1.0,60000.0,0.0,36000.0,4000.0,0.0,,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_737140,8803.799652996124,2025.0,10.0,32010.0,1.0,519999.0,3.0,173333.0,249999.0,69999.0,50001.0,0.0,,2,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_737143,35550.611922727025,2025.0,10.0,34020.0,1.0,260000.0,1.0,260000.0,0.0,30000.0,130000.0,0.0,,1,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260000.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_761338,12588.610253651408,,,,,,,,,,,,,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060550821_761340,17905.46780638437,,,,,,,,,,,,,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767108,12402.758639282938,2025.0,12.0,31100.0,1.0,360000.0,3.0,120000.0,0.0,320001.0,30000.0,0.0,,2,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767117,15957.391989340196,2025.0,12.0,31190.0,1.0,372402.0,3.0,124134.0,120000.0,91002.0,47400.0,30000.0,,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767127,18604.13795892441,2025.0,12.0,31190.0,1.0,170000.0,2.0,85000.0,0.0,30000.0,30000.0,0.0,,2,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767132,20105.73303977865,2025.0,12.0,39020.0,1.0,560000.0,1.0,560000.0,100000.0,110000.0,338000.0,2000.0,4.0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0,2025
2306055114A_767133,6853.335438119779,2025.0,12.0,11250.0,5.0,40000.0,1.0,40000.0,,,,,,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767136,10167.945997358109,2025.0,12.0,31130.0,3.0,50000.0,1.0,50000.0,,,,,,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767141,15079.29977983399,2025.0,12.0,31210.0,1.0,435000.0,5.0,87000.0,0.0,200000.0,40000.0,0.0,,2,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767146,12402.758639282938,2025.0,12.0,32060.0,1.0,150000.0,1.0,150000.0,50000.0,30000.0,18000.0,0.0,,2,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767155,15951.25723481029,2025.0,12.0,25020.0,1.0,130000.0,1.0,130000.0,30000.0,40000.0,20000.0,0.0,,2,6,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,86666.66666666666,0.0,0.0,0.0,0.0,0.0,43333.33333333333,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767162,12359.435834277438,2025.0,12.0,31050.0,5.0,80000.0,1.0,80000.0,,,,,,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767163,8548.306838945971,2025.0,12.0,31250.0,1.0,80000.0,1.0,80000.0,30000.0,18000.0,2000.0,0.0,,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767168,12668.007449521609,2025.0,12.0,31140.0,3.0,60000.0,1.0,60000.0,,,,,,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055114A_767171,8548.306838945971,2025.0,12.0,32010.0,1.0,200000.0,1.0,200000.0,60000.0,100000.0,40000.0,0.0,,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060551711_694413,31955.01279030311,2025.0,9.0,39010.0,1.0,500000.0,1.0,500000.0,0.0,0.0,0.0,0.0,,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,2025
23060551711_694415,17332.656765969037,2025.0,9.0,31350.0,1.0,240000.0,4.0,60000.0,0.0,160000.0,40000.0,10000.0,,1,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060551711_694422,31648.35506014695,,,,,,,,,,,,,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060551711_694425,16138.795252554664,,,,,,,,,,,,,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060551711_694434,22087.423143845404,,,,,,,,,,,,,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060551711_694437,7967.588500355455,2025.0,9.0,36440.0,1.0,193750.0,1.0,193750.0,160000.0,410000.0,95000.0,30000.0,4.0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193750.0,0.0,0.0,0.0,2025
23060551711_694439,43154.55633450728,,,,,,,,,,,,,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
